valor1,valor2,valor3,valor4,valor5,valor6,valor7,monto,no pago
S,pepe,U,U,54,u,54,8,0
A,jojo,Y,Y,32,i,32,5,0
S,pepe,T,T,34,o,34,4,0
A,sergio,Y,Y,56,p,56,5,0
S,sergio,U,U,7,l,7,44,0
S,jojo,Y,Y,8,k,8,32,0
S,pepe,T,T,9,j,9,67,0
S,sergio,Y,Y,8,h,8,88,0
A,pepe,U,U,7,g,7,93,0
A,sergio,U,U,6,f,6,34,0
A,jojo,Y,Y,5,d,5,45,0
A,sergio,T,T,4,s,4,5,0
A,sergio,Y,Y,3,a,3,76,0
S,sergio,Y,Y,2,z,2,30,0
A,jojo,U,U,1,x,1,4,0
S,sergio,Y,Y,2,c,2,34,0
A,pepe,T,T,3,v,3,10,0
A,jojo,U,U,4,b,4,21,0
S,sergio,Y,Y,5,n,5,42,0
S,sergio,Y,Y,6,q,6,28,0
S,sergio,Y,Y,7,w,7,14,0
A,sergio,Y,Y,7,e,7,31,0
A,sergio,T,T,77,r,77,67,0
S,pepe,T,T,56,t,56,8,0
A,jojo,T,T,54,y,54,5,0
S,pepe,T,T,34,u,34,4,0
A,sergio,T,T,32,i,32,5,0
S,sergio,U,U,14,o,14,44,0
S,jojo,U,U,16,p,16,32,0
S,pepe,U,U,18,l,18,67,0
S,sergio,U,U,19,k,19,88,0
A,pepe,U,U,1,j,1,93,0
A,sergio,Y,Y,2,h,2,34,0
A,jojo,T,T,3,g,3,45,0
A,sergio,Y,Y,4,f,4,5,0
A,sergio,U,U,5,d,5,76,0
S,sergio,Y,Y,6,s,6,30,0
A,jojo,U,U,7,a,7,4,0
S,sergio,Y,Y,6,z,6,34,0
A,pepe,T,T,5,x,5,10,0
A,jojo,U,U,4,c,4,21,0
S,jojo,T,T,3,v,3,72,0
S,sergio,T,T,2,b,2,35,0
S,sergio,U,U,1,n,1,42,0
S,sergio,U,U,2,m,2,28,0
S,sergio,U,U,3,q,3,14,0
A,sergio,U,U,4,w,4,31,0
A,sergio,U,U,5,e,5,67,0
S,pepe,U,U,6,r,6,8,0
A,jojo,Y,Y,7,t,7,5,0
S,pepe,T,T,8,y,8,4,0
A,sergio,Y,Y,9,u,9,5,0
S,sergio,U,U,0,i,0,44,0
S,jojo,Y,Y,9,o,9,32,0
S,pepe,T,T,12,p,12,67,0
S,sergio,Y,Y,11,l,11,88,0
A,pepe,U,U,23,k,23,93,0
A,sergio,U,U,21,j,21,34,0
A,jojo,Y,Y,2,h,2,45,0
A,sergio,T,T,21,g,21,5,0
A,sergio,Y,Y,54,f,54,76,0
S,sergio,Y,Y,56,d,56,30,0
A,jojo,U,U,76,s,76,4,0
S,sergio,Y,Y,78,a,78,34,0
A,pepe,T,T,98,z,98,10,0
A,jojo,U,U,76,x,76,21,0
S,sergio,Y,Y,54,c,54,42,0
S,sergio,Y,Y,32,v,32,28,0
S,sergio,Y,Y,34,b,34,14,0
A,sergio,Y,Y,56,n,56,31,0
A,sergio,T,T,7,m,7,67,0
S,pepe,T,T,8,q,8,8,0
A,jojo,T,T,9,w,9,5,0
S,pepe,T,T,8,e,8,4,0
A,sergio,T,T,7,r,7,5,0
S,sergio,U,U,6,t,6,44,0
S,jojo,U,U,5,y,5,32,0
S,pepe,U,U,4,u,4,67,0
S,sergio,U,U,3,i,3,88,0
A,pepe,U,U,2,o,2,93,0
A,sergio,Y,Y,1,p,1,34,0
A,jojo,T,T,2,l,2,45,0
A,sergio,Y,Y,3,k,3,5,0
A,sergio,U,U,4,j,4,76,0
S,sergio,Y,Y,5,h,5,30,0
A,jojo,U,U,6,g,6,4,0
S,sergio,Y,Y,7,f,7,34,0
A,pepe,T,T,7,d,7,10,0
A,jojo,U,U,77,s,77,21,0
S,jojo,T,T,56,a,56,72,0
S,sergio,T,T,54,z,54,35,0
S,sergio,U,U,34,x,34,42,0
S,sergio,U,U,32,c,32,28,0
S,sergio,U,U,14,v,14,14,0
A,sergio,U,U,16,b,16,31,0
A,sergio,U,U,18,n,18,67,0
S,pepe,U,U,19,q,19,8,0
A,jojo,Y,Y,1,w,1,5,0
S,pepe,T,T,2,e,2,4,0
A,sergio,Y,Y,3,r,3,5,0
S,sergio,U,U,4,t,4,44,0
S,jojo,Y,Y,5,y,5,32,0
S,pepe,T,T,6,u,6,67,0
S,sergio,Y,Y,7,i,7,88,0
A,pepe,U,U,6,o,6,93,0
A,sergio,U,U,5,p,5,34,0
A,jojo,Y,Y,4,l,4,45,0
A,sergio,T,T,3,k,3,5,0
A,sergio,Y,Y,2,j,2,76,0
S,sergio,Y,Y,1,h,1,30,0
A,jojo,U,U,2,g,2,4,0
S,sergio,Y,Y,3,f,3,34,0
A,pepe,T,T,4,d,4,10,0
A,jojo,U,U,5,s,5,21,0
S,sergio,Y,Y,6,a,6,42,0
S,sergio,Y,Y,7,z,7,28,0
S,sergio,Y,Y,8,x,8,14,0
A,sergio,Y,Y,9,c,9,31,0
A,sergio,T,T,0,v,0,67,0
S,pepe,T,T,9,b,9,8,0
A,jojo,T,T,12,n,12,5,0
S,pepe,T,T,11,q,11,4,0
A,sergio,T,T,23,w,23,5,0
S,sergio,U,U,21,e,21,44,0
S,jojo,U,U,2,r,2,32,0
S,pepe,U,U,21,t,21,67,0
S,sergio,U,U,54,y,54,88,0
A,pepe,U,U,56,u,56,93,0
A,sergio,Y,Y,76,i,76,34,0
A,jojo,T,T,78,o,78,45,0
A,sergio,Y,Y,98,p,98,5,0
A,sergio,U,U,76,l,76,76,0
S,sergio,Y,Y,54,k,54,30,0
A,jojo,U,U,32,j,32,4,0
S,sergio,Y,Y,34,h,34,34,0
A,pepe,T,T,56,g,56,10,0
A,jojo,U,U,7,f,7,21,0
S,jojo,T,T,8,d,8,72,0
S,sergio,T,T,9,s,9,35,0
S,sergio,U,U,8,a,8,42,0
S,sergio,U,U,7,z,7,28,0
S,sergio,U,U,6,x,6,14,0
A,sergio,U,U,5,c,5,31,0
A,sergio,U,U,4,v,4,67,0
S,pepe,U,U,3,b,3,8,0
A,jojo,Y,Y,2,n,2,5,0
S,pepe,T,T,1,q,1,4,0
A,sergio,Y,Y,2,w,2,5,0
S,sergio,U,U,3,e,3,44,0
S,jojo,Y,Y,4,r,4,32,0
S,pepe,T,T,5,t,5,67,0
S,sergio,Y,Y,6,y,6,88,0
A,pepe,U,U,7,u,7,93,0
A,sergio,U,U,7,i,7,34,0
A,jojo,Y,Y,77,o,77,45,0
A,sergio,T,T,56,p,56,5,0
A,sergio,Y,Y,54,l,54,76,0
S,sergio,Y,Y,34,k,34,30,0
A,jojo,U,U,32,j,32,4,0
S,sergio,Y,Y,14,h,14,34,0
A,pepe,T,T,16,g,16,10,0
A,jojo,U,U,18,f,18,21,0
S,sergio,Y,Y,19,d,19,42,0
S,sergio,Y,Y,1,s,1,28,0
S,sergio,Y,Y,2,a,2,14,0
A,sergio,Y,Y,3,z,3,31,0
A,sergio,T,T,4,x,4,67,0
S,pepe,T,T,5,c,5,8,0
A,jojo,T,T,6,v,6,5,0
S,pepe,T,T,7,b,7,4,0
A,sergio,T,T,6,n,6,5,0
S,sergio,U,U,5,q,5,44,0
S,jojo,U,U,4,w,4,32,0
S,pepe,U,U,3,e,3,67,0
S,sergio,U,U,2,r,2,88,0
A,pepe,U,U,1,t,1,93,0
A,sergio,Y,Y,2,y,2,34,0
A,jojo,T,T,3,u,3,45,0
A,sergio,Y,Y,4,i,4,5,0
A,sergio,U,U,5,o,5,76,0
S,sergio,Y,Y,6,p,6,30,0
A,jojo,U,U,7,l,7,4,0
S,sergio,Y,Y,8,k,8,34,0
A,pepe,T,T,9,j,9,10,0
A,jojo,U,U,0,h,0,21,0
S,jojo,T,T,9,g,9,72,0
S,sergio,T,T,12,f,12,35,0
S,sergio,U,U,11,d,11,42,0
S,sergio,U,U,23,s,23,28,0
S,sergio,U,U,21,a,21,14,0
A,sergio,U,U,2,z,2,31,0
A,sergio,U,U,21,x,21,67,0
S,pepe,U,U,54,c,54,8,0
A,jojo,Y,Y,56,v,56,5,0
S,pepe,T,T,76,b,76,4,0
A,sergio,Y,Y,78,n,78,5,0
S,sergio,U,U,98,q,98,44,0
S,jojo,Y,Y,76,w,76,32,0
S,pepe,T,T,54,e,54,67,0
S,sergio,Y,Y,32,r,32,88,0
A,pepe,U,U,34,t,34,93,0
A,sergio,U,U,56,y,56,34,0
A,jojo,Y,Y,7,u,7,45,0
A,sergio,T,T,8,i,8,5,0
A,sergio,Y,Y,9,o,9,76,0
S,sergio,Y,Y,8,p,8,30,0
A,jojo,U,U,7,l,7,4,0
S,sergio,Y,Y,6,k,6,34,0
A,pepe,T,T,5,j,5,10,0
A,jojo,U,U,4,h,4,21,0
S,sergio,Y,Y,3,g,3,42,0
S,sergio,Y,Y,2,f,2,28,0
S,sergio,Y,Y,1,d,1,14,0
A,sergio,Y,Y,2,s,2,31,0
A,sergio,T,T,3,a,3,67,0
S,pepe,T,T,4,z,4,8,0
A,jojo,T,T,5,x,5,5,0
S,pepe,T,T,6,c,6,4,0
A,sergio,T,T,7,v,7,5,0
S,sergio,U,U,7,b,7,44,0
S,jojo,U,U,77,n,77,32,0
S,pepe,U,U,56,q,56,67,0
S,sergio,U,U,54,w,54,88,0
A,pepe,U,U,34,e,34,93,0
A,sergio,Y,Y,32,r,32,34,0
A,jojo,T,T,14,t,14,45,0
A,sergio,Y,Y,16,y,16,5,0
A,sergio,U,U,18,u,18,76,0
S,sergio,Y,Y,19,i,19,30,0
A,jojo,U,U,43,o,43,4,0
S,sergio,Y,Y,1,p,1,34,0
A,pepe,T,T,2,l,2,10,0
A,jojo,U,U,3,k,3,21,0
S,jojo,T,T,4,j,4,72,0
S,sergio,T,T,5,h,5,35,0
S,sergio,U,U,6,g,6,42,0
S,sergio,U,U,7,f,7,28,0
S,sergio,U,U,6,d,6,14,0
A,sergio,U,U,5,s,5,31,0
A,sergio,U,U,4,a,4,67,0
S,pepe,U,U,3,z,3,8,0
A,jojo,Y,Y,2,x,2,5,0
S,pepe,T,T,1,c,1,4,0
A,sergio,Y,Y,2,v,2,5,0
S,sergio,U,U,3,b,3,44,0
S,jojo,Y,Y,4,n,4,32,0
S,pepe,T,T,5,q,5,67,0
S,sergio,Y,Y,6,w,6,88,0
A,pepe,U,U,7,e,7,93,0
A,sergio,U,U,8,r,8,34,0
A,jojo,Y,Y,9,t,9,45,0
A,sergio,T,T,0,y,0,5,0
A,sergio,Y,Y,9,u,9,76,0
S,sergio,Y,Y,12,i,12,30,0
A,jojo,U,U,11,o,11,4,0
S,sergio,Y,Y,23,p,23,34,0
A,pepe,T,T,21,l,21,10,0
A,jojo,U,U,2,k,2,21,0
S,sergio,Y,Y,21,j,21,42,0
S,sergio,Y,Y,54,h,54,28,0
S,sergio,Y,Y,56,g,56,14,0
A,sergio,Y,Y,76,f,76,31,0
A,sergio,T,T,78,d,78,67,0
S,pepe,T,T,98,s,98,8,0
A,jojo,T,T,76,a,76,5,0
S,pepe,T,T,54,z,54,4,0
A,sergio,T,T,32,x,32,5,0
S,sergio,U,U,34,c,34,44,0
S,jojo,U,U,56,v,56,32,0
S,pepe,U,U,7,b,7,67,0
S,sergio,U,U,8,n,8,88,0
A,pepe,U,U,9,q,9,93,0
A,sergio,Y,Y,8,w,8,34,0
A,jojo,T,T,7,e,7,45,0
A,sergio,Y,Y,6,r,6,5,0
A,sergio,U,U,5,t,5,76,0
S,sergio,Y,Y,4,y,4,30,0
A,jojo,U,U,3,u,3,4,0
S,sergio,Y,Y,2,i,2,34,0
A,pepe,T,T,1,o,1,10,0
A,jojo,U,U,2,p,2,21,0
S,jojo,T,T,3,l,3,72,0
S,sergio,T,T,4,k,4,35,0
S,sergio,U,U,5,j,5,42,0
S,sergio,U,U,6,h,6,28,0
S,sergio,U,U,7,g,7,14,0
A,sergio,U,U,7,f,7,31,0
A,sergio,U,U,77,d,77,67,0
S,pepe,U,U,56,s,56,8,0
A,jojo,Y,Y,54,a,54,5,0
S,pepe,T,T,34,z,34,4,0
A,sergio,Y,Y,32,x,32,5,0
S,sergio,U,U,14,c,14,44,0
S,jojo,Y,Y,16,v,16,32,0
S,pepe,T,T,18,b,18,67,0
S,sergio,Y,Y,19,n,19,88,0
A,pepe,U,U,43,q,43,93,0
A,sergio,U,U,1,w,1,34,0
A,jojo,Y,Y,2,e,2,45,0
A,sergio,T,T,3,r,3,5,0
A,sergio,Y,Y,4,t,4,76,0
S,sergio,Y,Y,5,y,5,30,0
A,jojo,U,U,6,u,6,4,0
S,sergio,Y,Y,7,i,7,34,0
A,pepe,T,T,6,o,6,10,0
A,jojo,U,U,5,p,5,21,0
S,sergio,Y,Y,4,l,4,42,0
S,sergio,Y,Y,3,k,3,28,0
S,sergio,Y,Y,2,j,2,14,0
A,sergio,Y,Y,1,h,1,31,0
A,sergio,T,T,2,g,2,67,0
S,pepe,T,T,3,f,3,8,0
A,jojo,T,T,4,d,4,5,0
S,pepe,T,T,5,s,5,4,0
A,sergio,T,T,6,a,6,5,0
S,sergio,U,U,7,z,7,44,0
S,jojo,U,U,8,x,8,32,0
S,pepe,U,U,9,c,9,67,0
S,sergio,U,U,0,v,0,88,0
A,pepe,U,U,9,b,9,93,0
A,sergio,Y,Y,12,n,12,34,0
A,jojo,T,T,11,q,11,45,0
A,sergio,Y,Y,23,w,23,5,0
A,sergio,U,U,21,e,21,76,0
S,sergio,Y,Y,2,r,2,30,0
A,jojo,U,U,21,t,21,4,0
S,sergio,Y,Y,54,y,54,34,0
A,pepe,T,T,56,u,56,10,0
A,jojo,U,U,76,i,76,21,0
S,jojo,T,T,78,o,78,72,0
S,sergio,T,T,98,p,98,35,0
S,sergio,U,U,76,l,76,42,0
S,sergio,U,U,54,k,54,28,0
S,sergio,U,U,32,j,32,14,0
A,sergio,U,U,34,h,34,31,0
A,sergio,U,U,56,g,56,67,0
S,pepe,U,U,7,f,7,8,0
A,jojo,Y,Y,8,d,8,5,0
S,pepe,T,T,9,s,9,4,0
A,sergio,Y,Y,8,a,8,5,0
S,sergio,U,U,7,z,7,44,0
S,jojo,Y,Y,6,x,6,32,0
S,pepe,T,T,5,c,5,67,0
S,sergio,Y,Y,4,v,4,88,0
A,pepe,U,U,3,b,3,93,0
A,sergio,U,U,2,n,2,34,0
A,jojo,Y,Y,1,q,1,45,0
A,sergio,T,T,2,w,2,5,0
A,sergio,Y,Y,3,e,3,76,0
S,sergio,Y,Y,4,r,4,30,0
A,jojo,U,U,5,t,5,4,0
S,sergio,Y,Y,6,y,6,34,0
A,pepe,T,T,7,u,7,10,0
A,jojo,U,U,7,i,7,21,0
S,sergio,Y,Y,77,o,77,42,0
S,sergio,Y,Y,56,p,56,28,0
S,sergio,Y,Y,54,l,54,14,0
A,sergio,Y,Y,34,k,34,31,0
A,sergio,T,T,32,j,32,67,0
S,pepe,T,T,14,h,14,8,0
A,jojo,T,T,16,g,16,5,0
S,pepe,T,T,18,f,18,4,0
A,sergio,T,T,19,d,19,5,0
S,sergio,U,U,1,s,1,44,0
S,jojo,U,U,2,a,2,32,0
S,pepe,U,U,3,z,3,67,0
S,sergio,U,U,4,x,4,88,0
A,pepe,U,U,5,c,5,93,0
A,sergio,Y,Y,6,v,6,34,0
A,jojo,T,T,7,b,7,45,0
A,sergio,Y,Y,6,n,6,5,0
A,sergio,U,U,5,q,5,76,0
S,sergio,Y,Y,4,w,4,30,0
A,jojo,U,U,3,e,3,4,0
S,sergio,Y,Y,2,r,2,34,0
A,pepe,T,T,1,t,1,10,0
A,jojo,U,U,2,y,2,21,0
S,jojo,T,T,3,u,3,72,0
S,sergio,T,T,4,i,4,35,0
S,sergio,U,U,5,o,5,42,0
S,sergio,U,U,6,p,6,28,0
S,sergio,U,U,7,l,7,14,0
A,sergio,U,U,8,k,8,31,0
A,sergio,U,U,9,j,9,67,0
S,pepe,U,U,0,h,0,8,0
A,jojo,Y,Y,9,g,9,5,0
S,pepe,T,T,12,f,12,4,0
A,sergio,Y,Y,11,d,11,5,0
S,sergio,U,U,23,s,23,44,0
S,jojo,Y,Y,21,a,21,32,0
S,pepe,T,T,2,z,2,67,0
S,sergio,Y,Y,21,x,21,88,0
A,pepe,U,U,54,c,54,93,0
A,sergio,U,U,56,v,56,34,0
A,jojo,Y,Y,76,b,76,45,0
A,sergio,T,T,78,n,78,5,0
A,sergio,Y,Y,98,q,98,76,0
S,sergio,Y,Y,76,w,76,30,0
A,jojo,U,U,54,e,54,4,0
S,sergio,Y,Y,32,r,32,34,0
A,pepe,T,T,34,t,34,10,0
A,jojo,U,U,56,y,56,21,0
S,sergio,Y,Y,7,u,7,42,0
S,sergio,Y,Y,8,i,8,28,0
S,sergio,Y,Y,9,o,9,14,0
A,sergio,Y,Y,8,p,8,31,0
A,sergio,T,T,7,l,7,67,0
S,pepe,T,T,6,k,6,8,0
A,jojo,T,T,5,j,5,5,0
S,pepe,T,T,4,h,4,4,0
A,sergio,T,T,3,g,3,5,0
S,sergio,U,U,2,f,2,44,0
S,jojo,U,U,1,d,1,32,0
S,pepe,U,U,2,s,2,67,0
S,sergio,U,U,3,a,3,88,0
A,pepe,U,U,4,z,4,93,0
A,sergio,Y,Y,5,x,5,34,0
A,jojo,T,T,6,c,6,45,0
A,sergio,Y,Y,7,v,7,5,0
A,sergio,U,U,7,b,7,76,0
S,sergio,Y,Y,77,n,77,30,0
A,jojo,U,U,56,q,56,4,0
S,sergio,Y,Y,54,w,54,34,0
A,pepe,T,T,34,e,34,10,0
A,jojo,U,U,32,r,32,21,0
S,jojo,T,T,14,t,14,72,0
S,sergio,T,T,16,y,16,35,0
S,sergio,U,U,18,u,18,42,0
S,sergio,U,U,19,i,19,28,0
S,sergio,U,U,1,o,1,14,0
A,sergio,U,U,2,p,2,31,0
A,sergio,U,U,3,l,3,67,0
S,pepe,U,U,4,k,4,8,0
A,jojo,Y,Y,5,j,5,5,0
S,pepe,T,T,6,h,6,4,0
A,sergio,Y,Y,7,g,7,5,0
S,sergio,U,U,6,f,6,44,0
S,jojo,Y,Y,5,d,5,32,0
S,pepe,T,T,4,s,4,67,0
S,sergio,Y,Y,3,a,3,88,0
A,pepe,U,U,2,z,2,93,0
A,sergio,U,U,1,x,1,34,0
A,jojo,Y,Y,2,c,2,45,0
A,sergio,T,T,3,v,3,5,0
A,sergio,Y,Y,4,b,4,76,0
S,sergio,Y,Y,5,n,5,30,0
A,jojo,U,U,6,m,6,4,0
S,sergio,Y,Y,7,q,7,34,0
A,pepe,T,T,8,w,8,10,0
A,jojo,U,U,9,e,9,21,0
S,sergio,Y,Y,0,r,0,42,0
S,sergio,Y,Y,9,t,9,28,0
S,sergio,Y,Y,12,y,12,14,0
A,sergio,Y,Y,11,u,11,31,0
A,sergio,T,T,23,i,23,67,0
S,pepe,T,T,21,o,21,8,0
A,jojo,T,T,2,p,2,5,0
S,pepe,T,T,21,l,21,4,0
A,sergio,T,T,54,k,54,5,0
S,sergio,U,U,56,j,56,44,0
S,jojo,U,U,76,h,76,32,0
S,pepe,U,U,78,g,78,67,0
S,sergio,U,U,98,f,98,88,0
A,pepe,U,U,76,d,76,93,0
A,sergio,Y,Y,54,s,54,34,0
A,jojo,T,T,32,a,32,45,0
A,sergio,Y,Y,34,z,34,5,0
A,sergio,U,U,56,x,56,76,0
S,sergio,Y,Y,7,c,7,30,0
A,jojo,U,U,8,v,8,4,0
S,sergio,Y,Y,9,b,9,34,0
A,pepe,T,T,8,n,8,10,0
A,jojo,U,U,7,m,7,21,0
S,jojo,T,T,6,q,6,72,0
S,sergio,T,T,5,w,5,35,0
S,sergio,U,U,4,e,4,42,0
S,sergio,U,U,3,r,3,28,0
S,sergio,U,U,2,t,2,14,0
A,sergio,U,U,1,y,1,31,0
A,sergio,U,U,2,u,2,67,0
S,pepe,U,U,3,i,3,8,0
A,jojo,Y,Y,4,o,4,5,0
S,pepe,T,T,5,p,5,4,0
A,sergio,Y,Y,6,l,6,5,0
S,sergio,U,U,7,k,7,44,0
S,jojo,Y,Y,7,j,7,32,0
S,pepe,T,T,77,h,77,67,0
S,sergio,Y,Y,56,g,56,88,0
A,pepe,U,U,54,f,54,93,0
A,sergio,U,U,34,d,34,34,0
A,jojo,Y,Y,32,s,32,45,0
A,sergio,T,T,14,a,14,5,0
A,sergio,Y,Y,16,z,16,76,0
S,sergio,Y,Y,18,x,18,30,0
A,jojo,U,U,19,c,19,4,0
S,sergio,Y,Y,1,v,1,34,0
A,pepe,T,T,2,b,2,10,0
A,jojo,U,U,3,n,3,21,0
S,sergio,Y,Y,4,q,4,42,0
S,sergio,Y,Y,5,w,5,28,0
S,sergio,Y,Y,6,e,6,14,0
A,sergio,Y,Y,7,r,7,31,0
A,sergio,T,T,6,t,6,67,0
S,pepe,T,T,5,y,5,8,0
A,jojo,T,T,4,u,4,5,0
S,pepe,T,T,3,i,3,4,0
A,sergio,T,T,2,o,2,5,0
S,sergio,U,U,1,p,1,44,0
S,jojo,U,U,2,l,2,32,0
S,pepe,U,U,3,k,3,67,0
S,sergio,U,U,4,j,4,88,0
A,pepe,U,U,5,h,5,93,0
A,sergio,Y,Y,6,g,6,34,0
A,jojo,T,T,7,f,7,45,0
A,sergio,Y,Y,8,d,8,5,0
A,sergio,U,U,9,s,9,76,0
S,sergio,Y,Y,0,a,0,30,0
A,jojo,U,U,9,z,9,4,0
S,sergio,Y,Y,12,x,12,34,0
A,pepe,T,T,11,c,11,10,0
A,jojo,U,U,23,v,23,21,0
S,jojo,T,T,21,b,21,72,0
S,sergio,T,T,2,n,2,35,0
S,sergio,U,U,21,q,21,42,0
S,sergio,U,U,54,w,54,28,0
S,sergio,U,U,56,e,56,14,0
A,sergio,U,U,76,r,76,31,0
A,sergio,U,U,78,t,78,67,0
S,pepe,U,U,98,y,98,8,0
A,jojo,Y,Y,76,u,76,5,0
S,pepe,T,T,54,i,54,4,0
A,sergio,Y,Y,32,o,32,5,0
S,sergio,U,U,34,p,34,44,0
S,jojo,Y,Y,56,l,56,32,0
S,pepe,T,T,7,k,7,67,0
S,sergio,Y,Y,8,j,8,88,0
A,pepe,U,U,9,h,9,93,0
A,sergio,U,U,8,g,8,34,0
A,jojo,Y,Y,7,f,7,45,0
A,sergio,T,T,6,d,6,5,0
A,sergio,Y,Y,5,s,5,76,0
S,sergio,Y,Y,4,a,4,30,0
A,jojo,U,U,3,z,3,4,0
S,sergio,Y,Y,2,x,2,34,0
A,pepe,T,T,1,c,1,10,0
A,jojo,U,U,2,v,2,21,0
S,sergio,Y,Y,3,b,3,42,0
S,sergio,Y,Y,4,n,4,28,0
S,sergio,Y,Y,5,q,5,14,0
A,sergio,Y,Y,6,w,6,31,0
A,sergio,T,T,7,e,7,67,0
S,pepe,T,T,7,r,7,8,0
A,jojo,T,T,77,t,77,5,0
S,pepe,T,T,56,y,56,4,0
A,sergio,T,T,54,u,54,5,0
S,sergio,U,U,34,i,34,44,0
S,jojo,U,U,32,o,32,32,0
S,pepe,U,U,14,p,14,67,0
S,sergio,U,U,16,l,16,88,0
A,pepe,U,U,18,k,18,93,0
A,sergio,Y,Y,19,j,19,34,0
A,jojo,T,T,1,h,1,45,0
A,sergio,Y,Y,2,g,2,5,0
A,sergio,U,U,3,f,3,76,0
S,sergio,Y,Y,4,d,4,30,0
A,jojo,U,U,5,s,5,4,0
S,sergio,Y,Y,6,a,6,34,0
A,pepe,T,T,7,z,7,10,0
A,jojo,U,U,6,x,6,21,0
S,jojo,T,T,5,c,5,72,0
S,sergio,T,T,4,v,4,35,0
S,sergio,U,U,3,b,3,42,0
S,sergio,U,U,2,n,2,28,0
S,sergio,U,U,1,q,1,14,0
A,sergio,U,U,2,w,2,31,0
A,sergio,U,U,3,e,3,67,0
S,pepe,U,U,4,r,4,8,0
A,jojo,Y,Y,5,t,5,5,0
S,pepe,T,T,6,y,6,4,0
A,sergio,Y,Y,7,u,7,5,0
S,sergio,U,U,8,i,8,44,0
S,jojo,Y,Y,9,o,9,32,0
S,pepe,T,T,0,p,0,67,0
S,sergio,Y,Y,9,l,9,88,0
A,pepe,U,U,12,k,12,93,0
A,sergio,U,U,11,j,11,34,0
A,jojo,Y,Y,23,h,23,45,0
A,sergio,T,T,21,g,21,5,0
A,sergio,Y,Y,2,f,2,76,0
S,sergio,Y,Y,21,d,21,30,0
A,jojo,U,U,54,s,54,4,0
S,sergio,Y,Y,56,a,56,34,0
A,pepe,T,T,76,z,76,10,0
A,jojo,U,U,78,x,78,21,0
S,sergio,Y,Y,98,c,98,42,0
S,sergio,Y,Y,76,v,76,28,0
S,sergio,Y,Y,54,b,54,14,0
A,sergio,Y,Y,32,n,32,31,0
A,sergio,T,T,34,q,34,67,0
S,pepe,T,T,56,w,56,8,0
A,jojo,T,T,7,e,7,5,0
S,pepe,T,T,8,r,8,4,0
A,sergio,T,T,9,t,9,5,0
S,sergio,U,U,8,y,8,44,0
S,jojo,U,U,7,u,7,32,0
S,pepe,U,U,6,i,6,67,0
S,sergio,U,U,5,o,5,88,0
A,pepe,U,U,4,p,4,93,0
A,sergio,Y,Y,3,l,3,34,0
A,jojo,T,T,2,k,2,45,0
A,sergio,Y,Y,1,j,1,5,0
A,sergio,U,U,2,h,2,76,0
S,sergio,Y,Y,3,g,3,30,0
A,jojo,U,U,4,f,4,4,0
S,sergio,Y,Y,5,d,5,34,0
A,pepe,T,T,6,s,6,10,0
A,jojo,U,U,7,a,7,21,0
S,jojo,T,T,7,z,7,72,0
S,sergio,T,T,77,x,77,35,0
S,sergio,U,U,56,c,56,42,0
S,sergio,U,U,54,v,54,28,0
S,sergio,U,U,34,b,34,14,0
A,sergio,U,U,32,n,32,31,0
A,sergio,U,U,14,q,14,67,0
S,pepe,U,U,16,w,16,8,0
A,jojo,Y,Y,18,e,18,5,0
S,pepe,T,T,19,r,19,4,0
A,sergio,Y,Y,1,t,1,5,0
S,sergio,U,U,2,y,2,44,0
S,jojo,Y,Y,3,u,3,32,0
S,pepe,T,T,4,i,4,67,0
S,sergio,Y,Y,5,o,5,88,0
A,pepe,U,U,6,p,6,93,0
A,sergio,U,U,7,l,7,34,0
A,jojo,Y,Y,6,k,6,45,0
A,sergio,T,T,5,j,5,5,0
A,sergio,Y,Y,4,h,4,76,0
S,sergio,Y,Y,3,g,3,30,0
A,jojo,U,U,2,f,2,4,0
S,sergio,Y,Y,1,d,1,34,0
A,pepe,T,T,2,s,2,10,0
A,jojo,U,U,3,a,3,21,0
S,sergio,Y,Y,4,z,4,42,0
S,sergio,Y,Y,5,x,5,28,0
S,sergio,Y,Y,6,c,6,14,0
A,sergio,Y,Y,7,v,7,31,0
A,sergio,T,T,8,b,8,67,0
S,pepe,T,T,9,n,9,8,0
A,jojo,T,T,0,q,0,5,0
S,pepe,T,T,9,w,9,4,0
A,sergio,T,T,12,e,12,5,0
S,sergio,U,U,11,r,11,44,0
S,jojo,U,U,23,t,23,32,0
S,pepe,U,U,21,y,21,67,0
S,sergio,U,U,2,u,2,88,0
A,pepe,U,U,21,i,21,93,0
A,sergio,Y,Y,54,o,54,34,0
A,jojo,T,T,56,p,56,45,0
A,sergio,Y,Y,76,l,76,5,0
A,sergio,U,U,78,k,78,76,0
S,sergio,Y,Y,98,j,98,30,0
A,jojo,U,U,76,h,76,4,0
S,sergio,Y,Y,54,g,54,34,0
A,pepe,T,T,32,f,32,10,0
A,jojo,U,U,34,d,34,21,0
S,jojo,T,T,56,s,56,72,0
S,sergio,T,T,7,a,7,35,0
S,sergio,U,U,8,z,8,42,0
S,sergio,U,U,9,x,9,28,0
S,sergio,U,U,8,c,8,14,0
A,sergio,U,U,7,v,7,31,0
A,sergio,U,U,6,b,6,67,0
S,pepe,U,U,5,n,5,8,0
A,jojo,Y,Y,4,q,4,5,0
S,pepe,T,T,3,w,3,4,0
